authors|year|title|venue|download-link|image|award|slug
Hiniker, A., Lee, B. Sobel, K., and Choe E.K.|2017|Plan & Play: Supporting Intentional Media Use in Early Childhood|Proceedings of the 16th annual ACM conference on interaction design and children (IDC ’17). Pp. 85-95. Acceptance rate: 21%|http://faculty.washington.edu/alexisr/PlanAndPlay.pdf|wix:image://v1/a0f093_63361fe5582d492f9a2f817c057e4aa7~mv2_d_1920_1200_s_2.png/Screenshot_20160804-123656.png#originWidth=1920&originHeight=1200||PlanAndPlay
Hiniker, A., Hong, S., Kim, Y., Chen, N., West, J., Aragon, C.|2017|Toward the operationalization of visual metaphor|Journal of the Association for Information Science and Technology (JASIST), 68(10):2338-2349|http://onlinelibrary.wiley.com/doi/10.1002/asi.23857/full|wix:image://v1/a0f093_87eec8684c4445d08e943dfb67d730a3.png/metaphor.png#originWidth=685&originHeight=660||23857
Hiniker, A., Sobel, K., Lee, B.|2017|Co-designing with preschoolers using fictional inquiry and comicboarding|Proceedings of the 35th annual ACM conference on human factors in computing systems (CHI ’17). Pp. 5767-5772. Acceptance rate: 25%|http://faculty.washington.edu/alexisr/FictionalInquiry.pdf|wix:image://v1/a0f093_f6996f1c39394769aa39be91a4038667~mv2.png/storyboard2.png#originWidth=984&originHeight=546||FictionalInquiry
Sobel, K., Bhattacharya, A., Hiniker, A., Lee, J., Kientz, J., Yip, J.|2017|It wasn’t really about the Pokémon’: understanding families’ experiences with a location-based mobile game|Proceedings of the 35th annual ACM conference on human factors in computing systems (CHI ’17). pp. 1483-1496. Acceptance rate: 25%|http://faculty.washington.edu/alexisr/PokemonGO.pdf|wix:image://v1/a0f093_a5f2cb20ce0e4258961ec1a2fb1141db~mv2.jpg/pg%20(2).jpg#originWidth=745&originHeight=649||PokemonGO
Hiniker, A., Patel, S.N., Kohno, T., Kientz, J.A.,|2016|Why would you do that? Predicting the uses and gratifications behind smartphone-usage behaviors|Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing (UbiComp '16). pp. 634-645. Acceptance rate: 26%|http://faculty.washington.edu/alexisr/UsesAndGratifications.pdf|wix:image://v1/a0f093_5b43bed95ea1424c925bbfc62d79ddb4~mv2.png/esmForUgt.png#originWidth=480&originHeight=800||UsesAndGratifications
Hiniker, A., Suh, H., Cao, S., Kientz, J.A.|2016|Screen time tantrums: how families manage screen media experiences for young children|Proceedings of the 34th annual ACM conference on human factors in computing systems (CHI ’16). pp. 648-660. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/ScreenTimeTantrums.pdf|wix:image://v1/11062b_a05f85524ba14081976d3dc31819daf4~mv2.jpg/Toddler%20with%20Mobile%20Phone.jpg#originWidth=3777&originHeight=2518||ScreenTimeTantrums
Hiniker, A., Hong, S., Kohno, T., Kientz, J.A.|2016|MyTime: interventions to support intentional smartphone use|Proceedings of the 34th annual ACM conference on human factors in computing systems (CHI ’16). pp. 4746-4757. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/MyTime.pdf|wix:image://v1/a0f093_54e17b1e05dc45cfa1fd479671daa741.png/mytime.png#originWidth=480&originHeight=800||MyTime
Hiniker, A., Schoenebeck, S.Y., Kientz, J.A.|2016|Not at the dinner table: parents’ and children’s perspectives on family technology rules|Proceedings of the 19th annual conference on computer supported cooperative work (CSCW ’16). pp. 1376-1389. Acceptance rate: 25%|http://faculty.washington.edu/alexisr/FamilyTechnologyRules.pdf|wix:image://v1/a0f093_975dc06f315f4e85b069314c96ae97e5.jpg/techRules2.jpg#originWidth=320&originHeight=480||FamilyTechnologyRules
Hiniker, A., Sobel, K., Hong, S., Suh, H., Irish, I., Kientz, J.A.|2016|Hidden symbols: how informal symbolism in digital interfaces disrupts usability for preschoolers|International Journal of Human Computer Studies (IJHCS), 90:53-67|http://faculty.washington.edu/alexisr/HiddenSymbols.pdf|wix:image://v1/a0f093_9177231d734e4b0e8c251a95920e0998~mv2_d_2169_1462_s_2.png/symbols.png#originWidth=2169&originHeight=1462||HiddenSymbols
Hiniker, A., Rosenberg-Lee, M., Menon, V. |2015|Contributions of symbolic and non-symbolic number sense to mathematical ability in children with autism spectrum disorders|Journal of Autism and Development Disorders (JADD), 46(4):1268-1281|http://faculty.washington.edu/alexisr/NumberSenseAndAutism.pdf|wix:image://v1/a0f093_5fac65369c3c4aad8d0a7253d47a5675~mv2.png/ansTask.png#originWidth=472&originHeight=494||NumberSenseAndAutism
Hiniker, A., Sobel, K., Hong, S., Suh, H., Irish, I., Kim, D., Kientz, J.A.|2015|Touchscreen prompts for preschoolers:  designing developmentally appropriate techniques for teaching young children to perform gestures|Proceedings of the 14th international conference on interaction design and children (IDC ’15). pp. 109-118. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/TouchscreenPrompts.pdf|wix:image://v1/a0f093_e854a2f3fdb04f72b5720aa6b49fa0e8.png/prompt.png#originWidth=750&originHeight=563||TouchscreenPrompts
Hiniker, A., Sobel, K., Suh, H., Sung, Y., Lee, C.P., Kientz, J.A.|2015|Texting while parenting: how adults use mobile phones when caring for children at the playground|Proceedings of the 33rd annual ACM conference on human factors in computing systems (CHI ’15). pp. 727-736. Acceptance rate: 25%|http://faculty.washington.edu/alexisr/TextingWhileParenting.pdf|wix:image://v1/a0f093_714222859e214f29a134bc2856749666.jpg/playground.jpg#originWidth=259&originHeight=194||TextingWhileParenting
Suh, H., Porter, J.R., Hiniker, A., Kientz, J.A.|2014|@BabySteps: design and evaluation of a system for using twitter for tracking children's developmental milestones|Proceedings of the 32nd annual ACM conference on human factors in computing systems (CHI ’14). ACM, 2014. pp. 2279-2288. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/BabySteps.pdf|wix:image://v1/a0f093_51a19a5c134944d3ae787eec81b7237a.png/Example.png#originWidth=984&originHeight=653||BabySteps
Hiniker, A., Daniels, J.W., Williamson, H.|2013|Go go games: therapeutic video games for children with autism spectrum disorders|Proceedings of the 12th international conference on interaction design and children (IDC ’13). pp. 463-466. Acceptance rate: 33%|http://faculty.washington.edu/alexisr/GoGoGames.pdf|wix:image://v1/a0f093_7be5207cc4a64a6483ed5b85a5d6ed9e.png/Icon_2x.png#originWidth=114&originHeight=114||GoGoGames
